,Latitude,Longitude,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Cook_Time,Locality
52,39.61635616,-85.77939082,"Tea, Fast Food",10.0,50.00,3.3,12,6,30,Shelbyville
53,39.79155572,-85.19682518,"Fast Food, Italian, Beverages",20.0,50.00,3.9,327,173,45,Cambridge City
54,39.29536284,-85.4130969,"North Indian, Beverages",25.0,50.00,3.4,49,36,30,Greensburg
55,39.15300254,-85.83125677,Fast Food,10.0,50.00,3.3,11,1,30,Columbus
56,39.73816993,-85.98774145,"Street Food, Fast Food, North Indian",15.0,50.00,2.9,8,5,45,Cumberland
57,39.246060899999996,-85.24840142,Chinese,25.0,50.00,3.8,19,15,30,Batesville
58,39.21416154,-85.42028542,"Rolls, Chinese",10.0,50.00,3.7,18,6,30,Greensburg
59,39.91202387,-85.20009258,"South Indian, Chinese, Street Food",10.0,50.00,3.1,7,2,30,Hagerstown
60,39.24761498,-85.74017071,"North Indian, Mangalorean",35.0,50.00,3.5,16,8,45,Hope
62,39.97149012,-85.10478656,"Cafe, European, Continental, Sandwich, Salad, Healthy Food",60.0,50.00,4.6,391,174,30,Hagerstown
63,39.78608859,-85.51391817,Bengali,20.0,50.00,3.5,32,23,30,Knightstown
64,39.32966552,-85.46539025,"Bakery, Fast Food",20.0,50.00,3.3,39,11,30,Greensburg
65,39.72123107,-85.61547416,Fast Food,15.0,99.00,3.9,116,19,30,Morristown
66,39.66355779,-85.70068965,Desserts,10.0,50.00,3.4,22,9,45,Morristown
67,39.74835955,-85.90493956,"Desserts, Beverages, American",20.0,50.00,3.9,51,29,45,New Palestine
68,39.59264057,-85.51534624,"Chinese, Thai",15.0,50.00,3.2,9,1,30,Rushville
69,39.94383202,-85.75792858,"Chinese, Fast Food, Mughlai",30.0,50.00,3.7,128,30,45,Ingalls
70,39.85778082,-85.12994293,"Cafe, Continental, Fast Food",30.0,50.00,4.1,119,59,30,Cambridge City
71,39.14680695,-85.43812391,"Chinese, Rolls",15.0,50.00,0,0,0,30,Westport
72,39.95687758,-85.18973037,"North Indian, Fast Food",20.0,50.00,3.4,26,16,30,Hagerstown
73,39.92103884,-85.06719759999999,"Mishti, Fast Food, South Indian",10.0,50.00,4.0,381,89,65,Hagerstown
74,39.28679651,-85.76768119,"South Indian, North Indian, Chinese, Beverages",35.0,50.00,4.2,441,170,30,Hope
75,39.08513835,-85.07752799,"Fast Food, Bengali",10.0,50.00,0,0,0,30,Milan
76,39.54833494,-85.24905623,"Mithai, Street Food",10.0,50.00,3.7,62,10,30,Connersville
77,39.50948504,-85.88419991,"Beverages, Desserts",10.0,50.00,3.6,7,4,30,Shelbyville
78,39.19541646,-85.83185344,Fast Food,10.0,50.00,3.6,90,31,30,Columbus
80,39.57111405,-85.06931999,"European, Continental, North Indian, Desserts",75.0,50.00,4.3,3124,1660,45,Connersville
81,39.37777066,-85.4736907,"Biryani, Mughlai, North Indian",10.0,50.00,3.5,69,37,30,Greensburg
82,39.17314653,-85.10999179999999,"North Indian, Mughlai",15.0,50.00,3.3,0,0,30,Milan
83,39.50901051,-85.82570309,"North Indian, Chinese",20.0,50.00,3.9,385,71,30,Shelbyville
84,39.78082675,-85.55778348,"North Indian, Chinese",15.0,99.00,2.8,96,41,45,Knightstown
86,39.24100187,-85.70933415,"Chinese, Pizza, Fast Food",15.0,50.00,3.7,55,20,30,Hope
87,39.66478804,-85.27301244,North Indian,20.0,50.00,3.3,9,5,30,Connersville
88,39.57761635,-85.73713378,"Biryani, Hyderabadi, North Indian, Mughlai",10.0,50.00,2.6,0,0,30,Shelbyville
89,39.8290004,-85.93120517,South Indian,5.0,50.00,3.5,12,2,30,Cumberland
90,39.37638564,-85.6029476,"Momos, Fast Food",15.0,50.00,3.5,85,40,30,Saint Paul
92,39.76194520000001,-85.57936126,"South Indian, North Indian",10.0,50.00,3.7,27,5,30,Knightstown
94,39.18524521,-85.17021406,"Fast Food, Ice Cream, Beverages",20.0,50.00,3.8,107,47,30,Milan
95,39.64833524,-85.62629733,Fast Food,10.0,50.00,3.3,13,4,30,Morristown
96,39.68103152,-85.96604888,Fast Food,20.0,50.00,3.3,25,16,30,New Palestine
97,39.42686417,-85.48908376,Chinese,10.0,50.00,3.5,24,1,30,Greensburg
98,39.73842325,-85.88475452,"Burger, Fast Food",10.0,50.00,0,0,0,30,New Palestine
99,39.00550966,-85.03997818,Mughlai,15.0,50.00,2.8,7,3,30,Dillsboro
100,39.85621377,-85.79863499,Chinese,30.0,99.00,2.9,393,191,65,Greenfield
101,39.91420209,-85.35087349999999,"North Indian, Rolls, Chinese",20.0,50.00,3.9,348,105,30,New Castle
102,39.95387767,-85.02931789,"Andhra, Biryani",20.0,50.00,3.4,15,7,30,Lynn
103,39.4404387,-85.24962077,Street Food,10.0,50.00,4.1,260,100,65,Batesville
104,39.839910100000004,-85.27466544,"Burger, Fast Food",20.0,50.00,3.9,326,106,30,Cambridge City
105,39.93249086,-85.99246381,Street Food,10.0,50.00,3.5,18,8,30,Fishers
107,39.62526568,-85.69871441,"North Indian, Lucknowi",20.0,50.00,2.8,150,89,45,Morristown
108,39.57945615,-85.281867,"Fast Food, Beverages",15.0,50.00,3.7,35,21,30,Connersville
109,39.53340855,-85.82740285,North Indian,10.0,50.00,3.0,7,1,30,Shelbyville
110,39.55404852,-85.70631456,North Indian,20.0,50.00,3.3,28,9,30,Shelbyville
111,39.29004322,-85.26581427,Pizza,20.0,50.00,3.5,87,37,45,Batesville
112,39.23931591,-85.24280484,"Chinese, Fast Food",15.0,50.00,3.5,187,65,30,Batesville
113,39.90441069,-85.99210118,"Desserts, Ice Cream",10.0,50.00,2.6,28,13,30,Fishers
114,39.01373357,-85.70063756,"North Indian, Chinese, Street Food",15.0,50.00,2.8,0,0,30,Country Squire Lakes
115,39.88801779,-85.18924812,Fast Food,15.0,50.00,3.0,4,0,30,Hagerstown
116,39.22084771,-85.03278242,"North Indian, Fast Food",30.0,50.00,3.5,15,7,30,Sunman
117,39.42858533,-85.20761253,"Beverages, Cafe, Sandwich, Fast Food, Desserts",25.0,50.00,3.8,118,69,45,Batesville
119,39.65036419,-85.70901558,North Indian,15.0,50.00,0,0,0,30,Morristown
120,39.34868386,-85.16214663,"Street Food, Beverages",10.0,50.00,0,0,0,30,Batesville
121,39.91827901,-85.98922282,Bakery,20.0,50.00,3.1,12,2,30,Fishers
122,39.74895142,-85.70729255,North Indian,30.0,50.00,4.2,0,0,45,Greenfield
123,39.5435464,-85.18679656,"German, Italian, Cafe",45.0,50.00,4.3,4691,2547,45,Connersville
124,39.14950349,-85.25127309999999,"North Indian, South Indian, Chinese, Arabian",35.0,50.00,3.1,89,10,30,Osgood
125,39.78850907,-85.5055908,North Indian,10.0,50.00,3.9,70,9,30,Knightstown
126,39.6543456,-85.72041391,"North Indian, Mughlai",15.0,50.00,3.1,9,2,30,Morristown
127,39.69471185,-85.99475034,Mithai,5.0,50.00,2.8,11,2,30,Cumberland
128,39.24297904,-85.30919376,"Burger, Fast Food",20.0,50.00,3.8,349,159,45,Batesville
129,39.82756806,-85.30530302,"Finger Food, North Indian",30.0,50.00,3.0,6,1,30,New Castle
130,39.39617399,-85.27029783,"North Indian, Chinese",25.0,99.00,4.5,143,110,65,Batesville
131,39.33356397,-85.18352137,Bakery,15.0,50.00,3.2,7,3,30,Batesville
132,39.20001943,-85.18549405,"Fast Food, Beverages",10.0,50.00,0,0,0,30,Milan
133,39.50670932,-85.24685413,"North Indian, South Indian, Fast Food, Beverages",15.0,50.00,3.6,81,42,30,Connersville
134,39.02706528,-85.46473359999999,Street Food,5.0,50.00,3.7,63,36,45,North Vernon
135,39.76457091,-85.94239909,"Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages",20.0,50.00,3.4,417,181,45,Cumberland
136,39.84686053,-85.16093401,"Street Food, Fast Food",15.0,50.00,3.4,20,16,30,Cambridge City
137,39.74758059,-85.05253846,Chinese,15.0,50.00,4.2,124,109,30,Centerville
138,39.10847827,-85.20806781,"Fast Food, Street Food, Momos",10.0,50.00,3.3,12,1,30,Versailles
139,39.26540035,-85.48216432,"North Indian, Fast Food",20.0,50.00,2.9,47,10,45,Greensburg
140,39.42232062,-85.30285583,"Street Food, Fast Food",10.0,50.00,4.0,242,179,65,Batesville
141,39.86541915,-85.21974523,"Italian, Beverages",30.0,50.00,3.5,12,5,30,Cambridge City
142,39.17656867,-85.11412483,Mughlai,15.0,50.00,3.4,9,2,30,Milan
143,39.29635295,-85.77463462,Fast Food,10.0,50.00,0,0,0,30,Hope
144,39.33842589,-85.05245608,"Biryani, North Indian, Mughlai, Kebab, Rolls",25.0,99.00,4.7,706,490,30,Brookville
145,39.73504772,-85.63514556,South Indian,5.0,50.00,4.0,109,28,30,Morristown
146,39.17786602,-85.93043892,Desserts,15.0,50.00,4.4,584,343,45,Columbus
147,39.46381376,-85.84282636,"Fast Food, Rolls, Beverages",15.0,50.00,3.6,37,16,30,Shelbyville
148,39.44419204,-85.84200597,"Street Food, Fast Food",15.0,50.00,4.3,253,118,30,Shelbyville
149,39.59856885,-85.22711007,"North Indian, Chinese",15.0,50.00,3.4,123,37,30,Connersville
150,39.11130285,-85.67338662,"Chettinad, North Indian, Seafood",20.0,50.00,4.1,1665,690,30,Country Squire Lakes
151,39.66011329,-85.04340273,"Ice Cream, Fast Food",15.0,50.00,3.3,9,3,30,Connersville
152,39.69399226,-85.73634293,"Pizza, Burger, Fast Food, Desserts",20.0,50.00,3.9,191,72,45,Morristown
153,39.00180264,-85.75861338,"Biryani, Mughlai",10.0,50.00,0,0,0,30,Country Squire Lakes
154,39.2486385,-85.86583989,"Chinese, South Indian, North Indian",25.0,50.00,3.0,4,2,30,Columbus
155,39.38267148,-85.10729284,South Indian,15.0,50.00,3.5,40,6,30,Brookville
156,39.41714904,-85.01070388,"North Indian, Street Food, Desserts",15.0,50.00,4.0,696,296,45,Brookville
157,39.51315953,-85.43814981,"Bakery, Desserts",15.0,50.00,3.8,72,33,45,Rushville
158,39.74187426,-85.97823426,"Chinese, Fast Food, North Indian, Momos",20.0,99.00,4.0,334,164,45,Cumberland
160,39.28008133,-85.06996606,"North Indian, Mughlai, Momos",25.0,50.00,3.8,173,29,45,Sunman
161,39.62323954,-85.73190646,Juices,10.0,50.00,3.1,5,2,30,Morristown
162,39.05755093,-85.48767512,"Desserts, Beverages",20.0,50.00,4.1,62,50,30,North Vernon
163,39.95728594,-85.78271623,"Chinese, North Indian",10.0,50.00,3.8,85,27,30,Ingalls
164,39.57045542,-85.99243282,"Sandwich, Italian, Desserts",25.0,50.00,3.8,224,129,45,Whiteland
165,39.18302594,-85.48377028,Mughlai,20.0,50.00,0,0,0,30,Westport
166,39.5415937,-85.90436351,North Indian,10.0,50.00,0,0,0,30,Shelbyville
167,39.60256378,-85.44360947,"Cafe, Italian",60.0,50.00,4.2,2653,1581,65,Rushville
168,39.50980278,-85.81317119,"North Indian, Chinese",15.0,50.00,0,0,0,30,Shelbyville
169,39.38242655,-85.49986405,"North Indian, Chinese, Rolls",15.0,50.00,4.8,326,234,30,Greensburg
170,39.03108594,-85.91333604,"Bengali, Fast Food",30.0,50.00,3.5,90,45,45,Seymour
171,39.80854209,-85.56866417,"North Indian, Street Food",20.0,50.00,3.9,175,59,45,Knightstown
172,39.68350135,-85.56374304,North Indian,15.0,50.00,3.1,4,0,30,Knightstown
173,39.24208924,-85.37933894,"Ice Cream, Desserts",20.0,50.00,4.1,0,0,30,Greensburg
174,39.961127399999995,-85.39974215,Mithai,10.0,50.00,3.3,15,7,30,New Castle
175,39.24472701,-85.74167043,"Parsi, Bakery",20.0,50.00,4.0,4335,2363,30,Hope
176,39.19960225,-85.39468573,"Japanese, Sushi",40.0,50.00,3.6,163,72,45,Osgood
177,39.40821447,-85.2306036,"North Indian, Chinese",55.0,50.00,3.4,53,24,30,Batesville
178,39.09530132,-85.28355119,"Beverages, Desserts, Ice Cream",15.0,50.00,2.9,6,2,45,Osgood
179,39.85550184,-85.1841455,Rolls,5.0,50.00,3.1,6,2,30,Cambridge City
180,39.59319619,-85.58713284,"North Indian, South Indian, Chinese, Fast Food",35.0,50.00,3.0,19,5,45,Morristown
181,39.37885729,-85.1632968,"North Indian, Chinese",15.0,99.00,3.9,216,115,45,Batesville
182,39.95669365,-85.99287673,"North Indian, Chinese",20.0,50.00,3.7,45,12,45,Fishers
183,39.6172414,-85.87857241,"North Indian, Chinese",20.0,50.00,3.8,302,138,45,New Palestine
184,39.96086584,-85.85826794,North Indian,15.0,50.00,2.8,16,8,45,Fortville
185,39.44554131,-85.0539755,"Fast Food, Chinese",20.0,50.00,3.1,76,36,45,Brookville
186,39.25691399,-85.77568989,Street Food,10.0,50.00,3.1,4,1,30,Hope
188,39.12204924,-85.74231609,South Indian,15.0,50.00,3.6,87,45,45,Country Squire Lakes
189,39.75808644,-85.0256734,Cafe,20.0,50.00,3.3,9,1,30,Centerville
190,39.40960094,-85.79575013,"Chinese, Fast Food",10.0,50.00,3.2,12,7,30,Geneva
191,39.2781527,-85.51213762,"Chinese, Fast Food, North Indian, Mughlai",30.0,50.00,3.4,298,175,65,Greensburg
192,39.73447419,-85.6676522,Desserts,15.0,50.00,3.6,18,3,45,Morristown
193,39.83404267,-85.96384913,"Fast Food, Street Food, Beverages",15.0,50.00,3.7,77,39,45,Cumberland
194,39.55576058,-85.03469752,"Fast Food, American",15.0,50.00,3.5,101,53,45,Liberty
195,39.97414069,-85.13041294,"Fast Food, Mughlai",10.0,50.00,3.9,116,66,45,Hagerstown
196,39.32309293,-85.5555206,"Fast Food, Biryani, Beverages",20.0,50.00,0,0,0,30,Greensburg
197,39.16900616,-85.23023738,"Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",65.0,50.00,4.4,3248,1603,45,Osgood
198,39.49687086,-85.10108978,"Chinese, North Indian",20.0,50.00,3.6,125,29,30,Brookville
199,39.69136984,-85.98165258,"Pizza, Beverages",35.0,50.00,3.3,11,6,30,Cumberland
200,39.76189105,-85.80440431,"Beverages, Juices, Fast Food",10.0,50.00,3.6,31,15,30,Greenfield
201,39.93338583,-85.61524275,North Indian,15.0,50.00,3.0,4,1,30,Pendleton
202,39.37153329,-85.49585042,"Chinese, North Indian",15.0,50.00,3.1,192,50,45,Greensburg
203,39.88892074,-85.18747675,"Cafe, Continental, Italian",40.0,50.00,4.2,2828,1443,45,Hagerstown
204,39.69826678,-85.71493875,"Bakery, Desserts",15.0,50.00,3.2,6,4,30,Morristown
205,39.1756346,-85.83250275,"Japanese, Sushi, Asian",80.0,50.00,4.2,721,390,45,Columbus
206,39.50584154,-85.64310772,"North Indian, Mughlai",15.0,50.00,3.3,4,2,30,Saint Paul
207,39.66594512,-85.18535852,"North Indian, Mughlai",20.0,50.00,3.7,66,42,30,Connersville
208,39.46234282,-85.76016409,"Chinese, Fast Food, Momos",15.0,50.00,0,0,0,30,Shelbyville
209,39.25713091,-85.48716084,"North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages",15.0,50.00,3.5,45,29,45,Greensburg
211,39.80036552,-85.47746046,South Indian,15.0,50.00,3.9,219,108,30,Knightstown
212,39.4179752,-85.19872789,"Salad, Beverages, Healthy Food, Desserts",20.0,50.00,3.5,36,24,65,Batesville
213,39.2000858,-85.57600617,"Ice Cream, Cafe, Pizza, Burger, Beverages",20.0,50.00,4.5,2805,1457,45,Westport
214,39.38987618,-85.25071566,"Asian, Biryani, North Indian, Desserts",20.0,50.00,4.1,37,30,45,Batesville
215,39.13506409,-85.52749596,"Continental, Burger, Wraps, Beverages",15.0,50.00,4.0,34,27,30,Westport
218,39.13778347,-85.64076778,Chinese,10.0,50.00,0,0,0,30,Westport
219,39.15072708,-85.97615301,"Mithai, Street Food, Chinese",15.0,50.00,3.3,35,16,65,Columbus
221,39.655727399999996,-85.61685088,"North Indian, Chinese",25.0,50.00,2.8,27,11,30,Morristown
222,39.30274588,-85.22881832,"Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese",25.0,50.00,3.9,163,112,30,Batesville
223,39.55651432,-85.25544435,"South Indian, North Indian, Fast Food",20.0,50.00,3.7,182,107,45,Connersville
225,39.22516297,-85.95871471,"Chinese, Cantonese",100.0,50.00,4.7,441,259,30,Lowell
226,39.03212772,-85.37542576,"North Eastern, Momos, Fast Food, Beverages, Tibetan",10.0,50.00,2.9,0,0,30,Osgood
227,39.71585139,-85.67012084,"Fast Food, Chinese",15.0,50.00,3.5,26,6,30,Morristown
228,39.66336762,-85.23633025,Street Food,10.0,50.00,0,0,0,30,Connersville
229,39.37752057,-85.67963759999999,"Maharashtrian, South Indian, Chinese",15.0,50.00,3.3,12,7,30,Geneva
230,39.76045015,-85.43283885,Bakery,5.0,50.00,3.2,11,1,30,Knightstown
231,39.79990658,-85.36537419,Mithai,10.0,99.00,3.9,60,15,45,New Castle
232,39.83027348,-85.17769982,"North Indian, South Indian, Fast Food",10.0,50.00,0,0,0,30,Cambridge City
233,39.97208006,-85.59388866,"Biryani, Mughlai",10.0,50.00,3.6,353,53,30,Middletown
234,39.43350401,-85.35182426,"Chinese, North Indian",10.0,50.00,0,0,0,30,Greensburg
235,39.00676544,-85.44521732,"North Indian, Rolls",10.0,50.00,3.6,27,12,30,North Vernon
236,39.44003752,-85.30156625,"Pizza, Fast Food",15.0,50.00,3.7,43,9,30,Batesville
237,39.72516092,-85.79834239,Bengali,15.0,50.00,0,0,0,30,Greenfield
238,39.054129499999995,-85.61080468,Fast Food,10.0,50.00,3.3,10,4,30,North Vernon
239,39.72568009,-85.56576247,"Chinese, Thai",20.0,50.00,3.5,13,9,30,Knightstown
240,39.49133839,-85.08672131,"North Indian, Chinese, Mughlai",30.0,50.00,3.4,47,25,30,Brookville
241,39.45146393,-85.54563707,"North Indian, Fast Food",10.0,50.00,3.3,10,0,30,Saint Paul
242,39.36411384,-85.95979724,"Mithai, Street Food",15.0,50.00,3.4,13,1,30,Edinburgh
243,39.80772224,-85.06620497,"Tibetan, Chinese, Momos",25.0,50.00,4.2,633,269,45,Centerville
244,39.42654039,-85.65616257,"Fast Food, Burger",15.0,50.00,3.5,23,6,30,Saint Paul
245,39.77788859,-85.55905528,"Street Food, Fast Food, Beverages",15.0,50.00,3.4,13,10,45,Knightstown
246,39.98479257,-85.45500416,Bakery,30.0,50.00,3.8,77,52,30,New Castle
247,39.57368515,-85.96901208,"North Indian, Chinese",30.0,50.00,0,0,0,30,Whiteland
249,39.42730019,-85.48654647,"Cafe, Desserts",30.0,50.00,3.6,54,34,30,Greensburg
250,39.199033,-85.45164903,"Cafe, Fast Food",20.0,50.00,0,0,0,30,Westport
251,39.8943061,-85.06488272,"Andhra, Hyderabadi, Biryani, South Indian, North Indian, Rolls, Mughlai",20.0,50.00,3.7,112,41,30,Hagerstown
253,39.53644927,-85.74856886,"North Indian, Chinese",15.0,50.00,0,0,0,30,Shelbyville
254,39.48853199,-85.83505663,"North Indian, Chinese, Mughlai",25.0,50.00,3.6,76,38,30,Shelbyville
256,39.14422024,-85.39256245,"North Indian, Chinese",20.0,50.00,0,0,0,65,Osgood
257,39.30066639,-85.98493865,"Italian, Fast Food",20.0,50.00,3.7,101,29,45,Edinburgh
258,39.59094786,-85.71158244,North Indian,15.0,50.00,4.1,144,33,30,Morristown
259,39.69496741,-85.94624143,North Indian,10.0,50.00,3.5,49,7,30,New Palestine
260,39.47932741,-85.97100748,"Desserts, Bakery",15.0,50.00,3.5,20,16,30,Franklin
261,39.41700395,-85.14852065,"Fast Food, Sandwich",10.0,50.00,3.0,4,1,30,Brookville
262,39.18820669,-85.66876661,"Italian, Lebanese, North Indian",15.0,50.00,3.2,15,7,30,Westport
263,39.33500305,-85.15778878,"North Indian, Mughlai, Beverages",15.0,50.00,0,0,0,30,Batesville
264,39.81481863,-85.30611169,"North Eastern, Momos, Fast Food, Beverages, Tibetan",10.0,50.00,2.9,0,0,30,New Castle
265,39.85851875,-85.32829146,"Chinese, Mughlai, North Indian, Seafood, Biryani",20.0,50.00,3.8,426,196,45,New Castle
266,39.99853621,-85.23294933,Ice Cream,10.0,50.00,4.0,61,40,30,Hagerstown
267,39.29149882,-85.57633818,"Cafe, Spanish, Italian, Mexican, Salad, Juices",25.0,50.00,4.1,1307,794,45,Greensburg
268,39.228725,-85.14755236,Salad,15.0,50.00,3.7,26,10,30,Sunman
269,39.32222282,-85.23504733,"Chinese, North Indian, Mughlai",25.0,50.00,3.1,9,1,30,Batesville
270,39.65543407,-85.53185527,"North Indian, South Indian",20.0,99.00,3.2,7,2,65,Rushville
271,39.63530201,-85.07667939,"South Indian, Fast Food",10.0,50.00,0,0,0,30,Connersville
272,39.43883198,-85.34951142,"Chinese, Sushi, Asian, Thai",65.0,50.00,4.4,925,589,30,Greensburg
273,39.89207084,-85.65340736,"South Indian, North Indian, Chinese",15.0,50.00,3.3,24,8,30,Pendleton
274,39.78803292,-85.65571757,"North Indian, Rolls, Lebanese",25.0,50.00,3.4,40,7,45,Greenfield
275,39.79211376,-85.63726724,South Indian,10.0,50.00,3.6,33,8,30,Knightstown
276,39.47538445,-85.16476607,Maharashtrian,10.0,0.00,3.3,12,1,30,Brookville
277,39.07375864,-85.20642875,"North Indian, Chinese",30.0,0.00,3.6,102,48,45,Versailles
278,39.19748469,-85.52119473,"Chinese, North Indian",15.0,50.00,3.7,53,18,30,Westport
279,39.18538153,-85.89000925,"North Indian, South Indian, Chinese",20.0,50.00,3.4,47,6,65,Columbus
280,39.71396508,-85.40157626,"Continental, Pizza, Italian",25.0,50.00,3.9,297,145,45,Rushville
281,39.94290669,-85.58778419,"Parsi, Bakery",20.0,50.00,4.0,4335,2363,30,Middletown
282,39.75914439,-85.5715014,"North Indian, Chinese, Fast Food",60.0,50.00,3.9,750,536,30,Knightstown
283,39.37831014,-85.47400096,Beverages,10.0,50.00,3.6,11,4,45,Greensburg
284,39.04246634,-85.36326358,Fast Food,10.0,50.00,3.8,110,53,30,Osgood
285,39.38745728,-85.9230575,"Fast Food, Pizza, North Indian, Momos",20.0,50.00,4.1,479,247,45,Edinburgh
286,39.28978639,-85.91211278,North Indian,10.0,50.00,3.3,15,1,30,Lowell
287,39.22160845,-85.03011555,North Indian,20.0,50.00,2.4,19,11,30,Sunman
288,39.32816012,-85.06343494,"Bakery, Desserts, Mithai",20.0,50.00,0,0,0,30,Sunman
